name,description,price,stock,categories,image
"Harina P.A.N. Blanca 1kg","Harina de maíz precocida, ideal para arepas, empanadas y hallacas. Producto 100% venezolano.",45.99,150,"Abarrotes","/productos/harina-pan-blanca.jpg"
"Harina P.A.N. Amarilla 1kg","Harina de maíz amarillo precocida, perfecta para arepas con sabor tradicional venezolano.",47.50,120,"Abarrotes","/productos/harina-pan-amarilla.jpg"
"Maltín Polar 330ml","Bebida de malta, refrescante y nutritiva. Sabor tradicional venezolano desde 1953.",38.01,200,"Bebidas","/productos/malta-polar.jpg"
"Queso Llanero 500g","Queso blanco fresco de los llanos venezolanos. Ideal para desayunos y meriendas.",79.50,80,"Quesos","/productos/queso-llanero.jpg"
"Cachitos de Jamón y Queso (6 unidades)","Deliciosos cachitos rellenos de jamón y queso. Perfectos para el desayuno o la merienda.",65.00,50,"Panadería","/productos/cachitos.jpg"
"Golfeados con Dulce de Papelón (4 unidades)","Tradicional dulce venezolano enrollado con queso blanco y papelón. Sabor único e inconfundible.",59.99,30,"Panadería;Postres","/productos/golfeados.jpg"
"Chicha en Polvo Yukery (900g)","Preparado para chicha criolla venezolana. Solo agregar agua y azúcar al gusto.",42.75,90,"Bebidas","/productos/chicha-yukery.jpg"
"Papelón en Panela 500g","Azúcar de caña integral en panela. Tradicional endulzante venezolano para bebidas y postres.",28.50,110,"Abarrotes","/productos/papelon-panela.jpg"
"Aceite Mazeite 1 Litro","Aceite vegetal refinado de primera calidad. Ideal para cocinar y freír.",34.99,85,"Abarrotes","/productos/aceite-mazeite.jpg"
"Café Fama de América 500g","Café tostado y molido de los mejores granos venezolanos. Aroma y sabor inconfundibles.",67.25,75,"Café","/productos/cafe-fama-america.jpg"
"Sardinas La Gaviota en Salsa de Tomate","Sardinas en salsa de tomate, listas para consumir. Rico en proteínas y omega-3.",22.90,150,"Abarrotes","/productos/sardinas-gaviota.jpg"
"Arroz Primor 1kg","Arroz blanco de grano largo de primera calidad. Base perfecta para cualquier comida.",39.99,200,"Abarrotes","/productos/arroz-primor.jpg"
"Caraotas Negras La Isleña 500g","Frijoles negros de primera calidad. Ingrediente esencial del pabellón criollo venezolano.",31.50,140,"Abarrotes","/productos/caraotas-islena.jpg"
"Margarina Mavesa 500g","Margarina vegetal cremosa, perfecta para untar y cocinar. Sabor suave y consistencia ideal.",26.75,95,"Abarrotes","/productos/margarina-mavesa.jpg"
"Mayonesa Kraft 946ml","Mayonesa cremosa de excelente sabor. Perfecta para ensaladas, sándwiches y preparaciones.",44.80,70,"Abarrotes","/productos/mayonesa-kraft.jpg"
"Pan Tostado Bimbo Integral","Pan tostado integral rico en fibra. Ideal para desayunos saludables y nutritivos.",18.90,60,"Panadería","/productos/pan-tostado-bimbo.jpg"
"Leche en Polvo Klim 400g","Leche en polvo fortificada con vitaminas y minerales. Ideal para toda la familia.",52.99,100,"Abarrotes","/productos/leche-klim.jpg"
"Chocolate en Polvo Toddy 400g","Chocolate en polvo fortificado con vitaminas. Perfecto para bebidas calientes o frías.",36.50,80,"Bebidas","/productos/chocolate-toddy.jpg"
"Galletas Crackets Club Social","Galletas de soda crujientes, perfectas para acompañar quesos, embutidos o untables.",21.25,120,"Abarrotes","/productos/galletas-club-social.jpg"
"Espaguetis Primor 500g","Pasta de sémola de trigo duro. Textura perfecta y cocción uniforme garantizada.",24.99,160,"Abarrotes","/productos/espaguetis-primor.jpg"
